Uid,Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Size,Prems,Price,Bid,Ask,Vol,OI,Ivol,Label,Events,Details
14475587,2023-02-06 10:25:27,BABA,PUT,SPLIT,AT BID,100,103.56,2023-02-17,277,53.74K,1.94,1.94,1.96,2213,9696,49.08,,,
14475582,2023-02-06 10:25:26,SPY,PUT,,TO BID,429,408.98,2023-03-10,150,309.60K,20.64,20.56,20.78,1908,552,15.48,,,
14475581,2023-02-06 10:25:26,SPY,PUT,,,403,408.98,2023-03-17,150,105.30K,7.02,7.01,7.03,368,12157,18.83,,,
14475580,2023-02-06 10:25:25,TSLA,CALL,,AT ASK,230,192.29,2024-01-19,500,1.70M,34,33.35,34,558,13550,58.41,,,
14475579,2023-02-06 10:25:25,SPX,PUT,,TO BID,4100,4101.73,2023-02-06,250,276.00K,11.04,11,11.1,11783,6038,28.78,,,
14475578,2023-02-06 10:25:25,SPX,PUT,,TO ASK,4100,4101.91,2023-02-07,250,579.75K,23.19,23,23.3,1949,1239,25.38,,,
14475583,2023-02-06 10:25:24,TSLA,CALL,SWEEP,AT ASK,185,192.32,2023-02-10,100,118.00K,11.8,11.7,11.8,2714,7785,92.28,,,
14475576,2023-02-06 10:25:24,SQQQ,CALL,,AT BID,37.5,35.7,2023-03-24,100,33.50K,3.35,3.35,3.45,172,32,80.94,OPENING,,
14475574,2023-02-06 10:25:23,FSLR,CALL,,AT ASK,170,169.31,2023-02-10,100,41.00K,4.1,3.8,4.1,192,189,59.68,,,
14475573,2023-02-06 10:25:23,SPY,PUT,,,429,408.95,2023-03-10,150,310.35K,20.69,20.58,20.81,1758,552,15.59,,,
14475572,2023-02-06 10:25:23,SPY,PUT,,AT ASK,403,408.95,2023-03-17,150,105.60K,7.04,7.02,7.04,218,12157,18.85,,,
14475575,2023-02-06 10:25:22,BAC,PUT,SWEEP,AT BID,36,36.12,2023-05-19,147,25.58K,1.74,1.74,1.76,164,2438,25.15,,,
14475570,2023-02-06 10:25:22,SPY,PUT,,AT BID,388,408.98,2023-03-03,200,37.40K,1.87,1.87,1.88,223,2108,21.28,,,
14475569,2023-02-06 10:25:22,SPY,PUT,,,400,408.98,2023-03-03,200,79.60K,3.98,3.97,3.99,2473,7590,19.02,,,
14475571,2023-02-06 10:25:20,TSLA,CALL,SWEEP,AT BID,200,192.31,2023-02-10,207,101.43K,4.9,4.9,4.95,56589,28709,96.24,,,
14475566,2023-02-06 10:25:19,SPX,PUT,,ABV ASK,4100,4102.79,2023-02-09,250,786.25K,31.45,31.1,31.4,693,244,21.32,OPEN SPREAD,,
14475565,2023-02-06 10:25:19,SPX,CALL,,BLW BID,4100,4102.55,2023-02-10,250,943.75K,37.75,37.8,38.1,713,3322,20.7,SPREAD,,
14475564,2023-02-06 10:25:19,SPX,PUT,,ABV ASK,4100,4102.79,2023-02-09,250,786.25K,31.45,31.1,31.4,443,244,21.32,OPEN SPREAD,,
14475563,2023-02-06 10:25:19,SPX,CALL,,BLW BID,4100,4102.55,2023-02-10,250,943.75K,37.75,37.8,38.1,463,3322,20.7,SPREAD,,
14475562,2023-02-06 10:25:19,SPX,PUT,,ABV ASK,4100,4102.55,2023-02-10,100,351.00K,35.1,34.7,35,874,2682,20.64,SPREAD,,
